,accounter,LoopSpeedArr,UploadSpeedArr,gps_info,set_index,Ax,Ay,Az,gx,gy,gz,temp,timingForThisSet,timeDifference
0,1203,169,108,{'Button': {'on': 'On'}},0,-0.23,8.77,-0.77,0.05,-3.04,-0.13,31.26,4.00,
1,1203,169,108,{'Button': {'on': 'On'}},1,-0.05,8.55,-0.75,0.10,-3.19,-0.14,31.31,2.00,
2,1203,169,108,{'Button': {'on': 'On'}},2,-0.06,8.32,-0.87,0.13,-3.32,-0.15,31.17,2.00,
3,1203,169,108,{'Button': {'on': 'On'}},3,-0.03,8.14,-0.86,0.18,-3.45,-0.16,31.35,3.00,
4,1203,169,108,{'Button': {'on': 'On'}},4,-0.08,7.97,-0.92,0.21,-3.56,-0.17,31.21,3.00,
5,1203,169,108,{'Button': {'on': 'On'}},5,-0.14,7.85,-1.00,0.25,-3.66,-0.17,31.26,3.00,
6,1203,169,108,{'Button': {'on': 'On'}},6,-0.12,7.65,-1.09,0.30,-3.76,-0.18,31.26,3.00,
7,1203,169,108,{'Button': {'on': 'On'}},7,-0.16,7.55,-1.34,0.34,-3.85,-0.19,31.26,3.00,
8,1203,169,108,{'Button': {'on': 'On'}},8,-0.36,7.41,-1.46,0.37,-3.91,-0.19,31.31,3.00,
9,1203,169,108,{'Button': {'on': 'On'}},9,-0.31,7.36,-1.56,0.40,-3.98,-0.19,31.31,3.00,
10,1203,169,108,{'Button': {'on': 'On'}},10,-0.22,7.25,-1.65,0.43,-4.05,-0.19,31.35,3.00,
11,1203,169,108,{'Button': {'on': 'On'}},11,-0.23,7.13,-1.83,0.45,-4.10,-0.19,31.26,3.00,
12,1203,169,108,{'Button': {'on': 'On'}},12,-0.25,7.12,-2.02,0.47,-4.15,-0.19,31.31,3.00,
13,1203,169,108,{'Button': {'on': 'On'}},13,-0.32,6.97,-2.18,0.47,-4.21,-0.18,31.21,3.00,
14,1203,169,108,{'Button': {'on': 'On'}},14,-0.30,6.96,-2.32,0.48,-4.25,-0.18,31.26,3.00,
15,1203,169,108,{'Button': {'on': 'On'}},15,-0.37,6.97,-2.50,0.48,-4.29,-0.17,31.26,3.00,
16,1203,169,108,{'Button': {'on': 'On'}},16,-0.37,6.94,-2.54,0.48,-4.33,-0.16,31.21,2.00,
17,1203,169,108,{'Button': {'on': 'On'}},17,-0.45,6.96,-2.90,0.47,-4.37,-0.15,31.21,2.00,
18,1203,169,108,{'Button': {'on': 'On'}},18,-0.48,6.86,-2.98,0.46,-4.37,-0.14,31.17,3.00,
19,1203,169,108,{'Button': {'on': 'On'}},19,-0.43,6.86,-3.10,0.44,-4.37,-0.12,31.26,3.00,
20,1202,169,108,{'Button': {'on': 'On'}},0,-0.23,8.77,-0.77,0.05,-3.04,-0.13,31.26,4.00,
21,1202,169,108,{'Button': {'on': 'On'}},1,-0.05,8.55,-0.75,0.10,-3.19,-0.14,31.31,2.00,
22,1202,169,108,{'Button': {'on': 'On'}},2,-0.06,8.32,-0.87,0.13,-3.32,-0.15,31.17,2.00,
23,1202,169,108,{'Button': {'on': 'On'}},3,-0.03,8.14,-0.86,0.18,-3.45,-0.16,31.35,3.00,
24,1202,169,108,{'Button': {'on': 'On'}},4,-0.08,7.97,-0.92,0.21,-3.56,-0.17,31.21,3.00,
25,1202,169,108,{'Button': {'on': 'On'}},5,-0.14,7.85,-1.00,0.25,-3.66,-0.17,31.26,3.00,
26,1202,169,108,{'Button': {'on': 'On'}},6,-0.12,7.65,-1.09,0.30,-3.76,-0.18,31.26,3.00,
27,1202,169,108,{'Button': {'on': 'On'}},7,-0.16,7.55,-1.34,0.34,-3.85,-0.19,31.26,3.00,
28,1202,169,108,{'Button': {'on': 'On'}},8,-0.36,7.41,-1.46,0.37,-3.91,-0.19,31.31,3.00,
29,1202,169,108,{'Button': {'on': 'On'}},9,-0.31,7.36,-1.56,0.40,-3.98,-0.19,31.31,3.00,
30,1202,169,108,{'Button': {'on': 'On'}},10,-0.22,7.25,-1.65,0.43,-4.05,-0.19,31.35,3.00,
31,1202,169,108,{'Button': {'on': 'On'}},11,-0.23,7.13,-1.83,0.45,-4.10,-0.19,31.26,3.00,
32,1202,169,108,{'Button': {'on': 'On'}},12,-0.25,7.12,-2.02,0.47,-4.15,-0.19,31.31,3.00,
33,1202,169,108,{'Button': {'on': 'On'}},13,-0.32,6.97,-2.18,0.47,-4.21,-0.18,31.21,3.00,
34,1202,169,108,{'Button': {'on': 'On'}},14,-0.30,6.96,-2.32,0.48,-4.25,-0.18,31.26,3.00,
35,1202,169,108,{'Button': {'on': 'On'}},15,-0.37,6.97,-2.50,0.48,-4.29,-0.17,31.26,3.00,
36,1202,169,108,{'Button': {'on': 'On'}},16,-0.37,6.94,-2.54,0.48,-4.33,-0.16,31.21,2.00,
37,1202,169,108,{'Button': {'on': 'On'}},17,-0.45,6.96,-2.90,0.47,-4.37,-0.15,31.21,2.00,
38,1202,169,108,{'Button': {'on': 'On'}},18,-0.48,6.86,-2.98,0.46,-4.37,-0.14,31.17,3.00,
39,1202,169,108,{'Button': {'on': 'On'}},19,-0.43,6.86,-3.10,0.44,-4.37,-0.12,31.26,3.00,
40,1201,194,133,{'Button': {'on': 'On'}},0,-1.05,8.58,-2.86,1.87,0.50,1.84,31.21,4.00,
41,1201,194,133,{'Button': {'on': 'On'}},1,-0.84,8.66,-3.03,1.89,0.56,1.91,31.17,3.00,
42,1201,194,133,{'Button': {'on': 'On'}},2,-0.86,8.60,-3.15,1.90,0.61,1.96,31.31,2.00,
43,1201,194,133,{'Button': {'on': 'On'}},3,-0.72,8.61,-3.17,1.91,0.65,2.00,31.21,3.00,
44,1201,194,133,{'Button': {'on': 'On'}},4,-0.58,8.61,-3.11,1.92,0.68,2.04,31.26,3.00,
45,1201,194,133,{'Button': {'on': 'On'}},5,-0.41,8.62,-3.00,1.92,0.68,2.07,31.31,3.00,
46,1201,194,133,{'Button': {'on': 'On'}},6,-0.25,8.63,-3.06,1.92,0.66,2.09,31.31,3.00,
47,1201,194,133,{'Button': {'on': 'On'}},7,-0.08,8.68,-3.09,1.92,0.63,2.10,31.26,3.00,
48,1201,194,133,{'Button': {'on': 'On'}},8,0.10,8.71,-3.12,1.92,0.58,2.10,31.26,3.00,
49,1201,194,133,{'Button': {'on': 'On'}},9,0.25,8.80,-3.00,1.92,0.52,2.09,31.31,3.00,
50,1201,194,133,{'Button': {'on': 'On'}},10,0.33,8.92,-3.30,1.91,0.44,2.08,31.21,3.00,
51,1201,194,133,{'Button': {'on': 'On'}},11,0.46,9.04,-3.45,1.90,0.36,2.05,31.17,3.00,
52,1201,194,133,{'Button': {'on': 'On'}},12,0.56,9.05,-3.39,1.87,0.26,2.03,31.17,3.00,
53,1201,194,133,{'Button': {'on': 'On'}},13,0.66,9.04,-3.59,1.85,0.15,1.99,31.21,3.00,
54,1201,194,133,{'Button': {'on': 'On'}},14,0.71,9.03,-3.70,1.82,0.05,1.94,31.26,3.00,
55,1201,194,133,{'Button': {'on': 'On'}},15,0.77,8.91,-3.66,1.79,-0.08,1.90,31.26,3.00,
56,1201,194,133,{'Button': {'on': 'On'}},16,0.96,8.86,-3.69,1.76,-0.22,1.84,31.26,2.00,
57,1201,194,133,{'Button': {'on': 'On'}},17,1.02,8.64,-3.53,1.74,-0.37,1.78,31.21,2.00,
58,1201,194,133,{'Button': {'on': 'On'}},18,1.08,8.46,-3.47,1.70,-0.51,1.72,31.21,3.00,
59,1201,194,133,{'Button': {'on': 'On'}},19,1.11,8.37,-3.33,1.68,-0.68,1.65,31.31,3.00,
60,1200,211,151,{'Button': {'on': 'On'}},0,-0.26,8.88,-6.94,-0.13,-3.51,1.11,31.31,3.00,
61,1200,211,151,{'Button': {'on': 'On'}},1,-0.29,8.51,-6.43,-0.21,-3.36,1.15,31.17,3.00,
62,1200,211,151,{'Button': {'on': 'On'}},2,-0.13,7.97,-6.18,-0.30,-3.23,1.20,31.35,3.00,
63,1200,211,151,{'Button': {'on': 'On'}},3,-0.16,7.62,-5.90,-0.37,-3.12,1.25,31.31,3.00,
64,1200,211,151,{'Button': {'on': 'On'}},4,-0.20,7.19,-5.40,-0.43,-3.02,1.29,31.26,3.00,
65,1200,211,151,{'Button': {'on': 'On'}},5,-0.30,6.86,-5.16,-0.49,-2.92,1.34,31.26,3.00,
66,1200,211,151,{'Button': {'on': 'On'}},6,-0.28,6.50,-4.86,-0.53,-2.85,1.38,31.31,3.00,
67,1200,211,151,{'Button': {'on': 'On'}},7,-0.36,6.30,-4.61,-0.57,-2.77,1.42,31.21,3.00,
68,1200,211,151,{'Button': {'on': 'On'}},8,-0.34,6.01,-4.40,-0.61,-2.71,1.46,31.35,3.00,
69,1200,211,151,{'Button': {'on': 'On'}},9,-0.35,5.87,-4.34,-0.64,-2.64,1.51,31.35,2.00,
70,1200,211,151,{'Button': {'on': 'On'}},10,-0.32,5.73,-4.04,-0.68,-2.58,1.53,31.31,2.00,
71,1200,211,151,{'Button': {'on': 'On'}},11,-0.28,5.50,-3.87,-0.71,-2.54,1.58,31.31,3.00,
72,1200,211,151,{'Button': {'on': 'On'}},12,-0.24,5.45,-3.74,-0.73,-2.49,1.61,31.35,3.00,
73,1200,211,151,{'Button': {'on': 'On'}},13,-0.18,5.31,-3.69,-0.75,-2.44,1.64,31.35,3.00,
74,1200,211,151,{'Button': {'on': 'On'}},14,-0.14,5.31,-3.55,-0.77,-2.40,1.67,31.21,3.00,
75,1200,211,151,{'Button': {'on': 'On'}},15,-0.20,5.29,-3.52,-0.79,-2.35,1.70,31.31,3.00,
76,1200,211,151,{'Button': {'on': 'On'}},16,-0.10,5.36,-3.57,-0.80,-2.31,1.73,31.21,3.00,
77,1200,211,151,{'Button': {'on': 'On'}},17,-0.04,5.39,-3.32,-0.82,-2.27,1.75,31.26,3.00,
78,1200,211,151,{'Button': {'on': 'On'}},18,-0.15,5.51,-3.29,-0.82,-2.24,1.78,31.26,3.00,
79,1200,211,151,{'Button': {'on': 'On'}},19,-0.15,5.71,-3.23,-0.82,-2.20,1.80,31.31,3.00,
80,1199,168,108,{'Button': {'on': 'On'}},0,-1.66,5.44,-6.04,-0.66,4.37,-2.36,31.31,4.00,
81,1199,168,108,{'Button': {'on': 'On'}},1,-1.75,5.47,-6.10,-0.72,4.37,-2.31,31.21,3.00,
82,1199,168,108,{'Button': {'on': 'On'}},2,-1.69,5.55,-6.07,-0.76,4.37,-2.25,31.21,2.00,
83,1199,168,108,{'Button': {'on': 'On'}},3,-1.68,5.53,-5.80,-0.80,4.37,-2.21,31.35,2.00,
84,1199,168,108,{'Button': {'on': 'On'}},4,-1.71,5.61,-5.74,-0.83,4.37,-2.16,31.26,3.00,
85,1199,168,108,{'Button': {'on': 'On'}},5,-1.80,5.68,-5.46,-0.86,4.37,-2.12,31.21,3.00,
86,1199,168,108,{'Button': {'on': 'On'}},6,-1.91,5.80,-5.53,-0.89,4.37,-2.07,31.31,3.00,
87,1199,168,108,{'Button': {'on': 'On'}},7,-2.13,5.98,-5.05,-0.91,4.37,-2.02,31.31,3.00,
88,1199,168,108,{'Button': {'on': 'On'}},8,-2.10,6.00,-4.93,-0.91,4.37,-1.97,31.35,3.00,
89,1199,168,108,{'Button': {'on': 'On'}},9,-2.13,6.08,-4.89,-0.93,4.37,-1.93,31.31,3.00,
90,1199,168,108,{'Button': {'on': 'On'}},10,-2.16,6.12,-4.70,-0.93,4.37,-1.88,31.21,3.00,
91,1199,168,108,{'Button': {'on': 'On'}},11,-1.66,5.68,-4.39,-0.93,4.37,-1.84,31.26,3.00,
92,1199,168,108,{'Button': {'on': 'On'}},12,-1.39,6.17,-4.98,-0.92,4.37,-1.80,31.35,3.00,
93,1199,168,108,{'Button': {'on': 'On'}},13,-2.36,6.95,-4.63,-0.94,4.37,-1.74,31.35,3.00,
94,1199,168,108,{'Button': {'on': 'On'}},14,-1.72,6.55,-4.19,-0.92,4.37,-1.73,31.31,3.00,
95,1199,168,108,{'Button': {'on': 'On'}},15,-2.02,6.86,-4.20,-0.90,4.37,-1.68,31.26,3.00,
96,1199,168,108,{'Button': {'on': 'On'}},16,-2.08,7.36,-5.25,-0.90,4.37,-1.64,31.26,3.00,
97,1199,168,108,{'Button': {'on': 'On'}},17,-1.92,7.49,-3.94,-0.88,4.37,-1.59,31.26,3.00,
98,1199,168,108,{'Button': {'on': 'On'}},18,-2.32,7.79,-4.78,-0.86,4.37,-1.53,31.31,2.00,
99,1199,168,108,{'Button': {'on': 'On'}},19,-2.44,7.95,-3.78,-0.82,4.37,-1.50,31.31,3.00,
100,1198,169,109,{'Button': {'on': 'On'}},0,2.50,10.27,-9.96,-0.32,4.37,-4.37,31.26,3.00,
101,1198,169,109,{'Button': {'on': 'On'}},1,1.81,10.50,-9.74,-0.22,4.37,-4.27,31.21,3.00,
102,1198,169,109,{'Button': {'on': 'On'}},2,1.79,10.80,-10.31,-0.11,4.37,-4.13,31.26,3.00,
103,1198,169,109,{'Button': {'on': 'On'}},3,1.10,11.32,-10.41,-0.03,4.37,-3.94,31.26,3.00,
104,1198,169,109,{'Button': {'on': 'On'}},4,1.07,11.93,-11.05,0.04,4.37,-3.76,31.31,3.00,
105,1198,169,109,{'Button': {'on': 'On'}},5,0.43,12.35,-11.42,0.10,4.37,-3.52,31.21,3.00,
106,1198,169,109,{'Button': {'on': 'On'}},6,0.27,12.75,-11.69,0.14,4.37,-3.28,31.45,3.00,
107,1198,169,109,{'Button': {'on': 'On'}},7,-0.16,13.19,-12.33,0.14,4.37,-3.02,31.17,2.00,
108,1198,169,109,{'Button': {'on': 'On'}},8,-0.53,13.46,-12.48,0.13,4.37,-2.77,31.21,3.00,
109,1198,169,109,{'Button': {'on': 'On'}},9,-0.82,13.72,-13.05,0.10,4.37,-2.51,31.31,3.00,
110,1198,169,109,{'Button': {'on': 'On'}},10,-0.96,13.86,-13.52,0.04,4.37,-2.26,31.17,3.00,
111,1198,169,109,{'Button': {'on': 'On'}},11,-1.48,13.91,-13.65,-0.04,4.37,-2.01,31.35,3.00,
112,1198,169,109,{'Button': {'on': 'On'}},12,-2.27,13.86,-14.00,-0.11,4.37,-1.78,31.26,3.00,
113,1198,169,109,{'Button': {'on': 'On'}},13,-2.66,13.80,-14.08,-0.22,4.37,-1.58,31.40,3.00,
114,1198,169,109,{'Button': {'on': 'On'}},14,-3.31,13.67,-14.63,-0.32,4.37,-1.39,31.31,3.00,
115,1198,169,109,{'Button': {'on': 'On'}},15,-3.77,13.39,-14.11,-0.43,4.37,-1.20,31.26,3.00,
116,1198,169,109,{'Button': {'on': 'On'}},16,-4.64,12.92,-13.91,-0.53,4.37,-1.00,31.26,3.00,
117,1198,169,109,{'Button': {'on': 'On'}},17,-5.09,12.46,-13.48,-0.61,4.37,-0.84,31.35,3.00,
118,1198,169,109,{'Button': {'on': 'On'}},18,-5.00,12.00,-14.38,-0.69,4.37,-0.70,31.31,3.00,
119,1198,169,109,{'Button': {'on': 'On'}},19,-5.66,11.40,-12.78,-0.76,4.37,-0.58,31.31,3.00,
120,1197,190,129,{'Button': {'on': 'On'}},0,3.62,3.23,0.47,4.29,-1.54,-0.32,31.31,3.00,
121,1197,190,129,{'Button': {'on': 'On'}},1,3.61,3.24,0.92,4.37,-1.44,-0.44,31.26,3.00,
122,1197,190,129,{'Button': {'on': 'On'}},2,3.62,3.42,1.01,4.37,-1.36,-0.54,31.31,3.00,
123,1197,190,129,{'Button': {'on': 'On'}},3,3.52,3.58,1.55,4.37,-1.32,-0.66,31.31,3.00,
124,1197,190,129,{'Button': {'on': 'On'}},4,3.41,3.72,1.43,4.37,-1.29,-0.78,31.35,3.00,
125,1197,190,129,{'Button': {'on': 'On'}},5,3.35,3.99,1.65,4.37,-1.28,-0.91,31.35,3.00,
126,1197,190,129,{'Button': {'on': 'On'}},6,3.20,4.32,1.48,4.37,-1.29,-1.04,31.35,3.00,
127,1197,190,129,{'Button': {'on': 'On'}},7,3.27,4.73,1.47,4.37,-1.31,-1.16,31.31,3.00,
128,1197,190,129,{'Button': {'on': 'On'}},8,3.33,5.09,0.94,4.37,-1.35,-1.30,31.21,3.00,
129,1197,190,129,{'Button': {'on': 'On'}},9,3.36,5.63,0.17,4.37,-1.38,-1.44,31.35,3.00,
130,1197,190,129,{'Button': {'on': 'On'}},10,3.14,6.17,-0.20,4.37,-1.43,-1.57,31.26,3.00,
131,1197,190,129,{'Button': {'on': 'On'}},11,3.06,6.79,-1.34,4.37,-1.45,-1.71,31.31,3.00,
132,1197,190,129,{'Button': {'on': 'On'}},12,2.86,7.52,-2.02,4.37,-1.50,-1.84,31.31,3.00,
133,1197,190,129,{'Button': {'on': 'On'}},13,2.60,8.37,-3.84,4.37,-1.51,-1.96,31.35,3.00,
134,1197,190,129,{'Button': {'on': 'On'}},14,2.40,9.35,-5.57,4.37,-1.52,-2.07,31.17,3.00,
135,1197,190,129,{'Button': {'on': 'On'}},15,2.17,10.08,-7.44,4.37,-1.50,-2.17,31.12,2.00,
136,1197,190,129,{'Button': {'on': 'On'}},16,1.60,10.87,-8.41,4.37,-1.48,-2.25,31.21,2.00,
137,1197,190,129,{'Button': {'on': 'On'}},17,1.03,11.89,-10.48,4.37,-1.44,-2.30,31.26,3.00,
138,1197,190,129,{'Button': {'on': 'On'}},18,-0.30,12.76,-11.49,4.37,-1.37,-2.31,31.35,3.00,
139,1197,190,129,{'Button': {'on': 'On'}},19,-0.15,13.26,-12.51,4.37,-1.23,-2.29,31.31,3.00,
140,1196,182,121,{'Button': {'on': 'On'}},0,-0.21,5.87,-0.07,-0.71,0.32,0.49,31.26,3.00,
141,1196,182,121,{'Button': {'on': 'On'}},1,-0.19,5.90,-0.07,-0.62,0.37,0.51,31.21,3.00,
142,1196,182,121,{'Button': {'on': 'On'}},2,-0.21,5.94,-0.06,-0.54,0.41,0.54,31.26,3.00,
143,1196,182,121,{'Button': {'on': 'On'}},3,-0.13,5.89,-0.09,-0.45,0.45,0.57,31.26,3.00,
144,1196,182,121,{'Button': {'on': 'On'}},4,-0.14,5.95,-0.04,-0.36,0.49,0.59,31.35,3.00,
145,1196,182,121,{'Button': {'on': 'On'}},5,-0.11,5.91,0.07,-0.27,0.53,0.61,31.31,2.00,
146,1196,182,121,{'Button': {'on': 'On'}},6,0.01,5.95,0.02,-0.19,0.56,0.63,31.31,3.00,
147,1196,182,121,{'Button': {'on': 'On'}},7,-0.02,5.93,-0.11,-0.11,0.58,0.65,31.35,3.00,
148,1196,182,121,{'Button': {'on': 'On'}},8,0.02,5.94,-0.16,-0.03,0.61,0.66,31.26,3.00,
149,1196,182,121,{'Button': {'on': 'On'}},9,0.04,6.05,-0.29,0.05,0.63,0.68,31.31,3.00,
150,1196,182,121,{'Button': {'on': 'On'}},10,0.09,6.05,-0.28,0.13,0.65,0.69,31.31,3.00,
151,1196,182,121,{'Button': {'on': 'On'}},11,0.13,6.18,-0.41,0.20,0.66,0.70,31.26,3.00,
152,1196,182,121,{'Button': {'on': 'On'}},12,0.21,6.22,-0.50,0.27,0.68,0.70,31.35,3.00,
153,1196,182,121,{'Button': {'on': 'On'}},13,0.25,6.31,-0.60,0.34,0.69,0.71,31.31,3.00,
154,1196,182,121,{'Button': {'on': 'On'}},14,0.30,6.43,-0.64,0.40,0.69,0.71,31.31,3.00,
155,1196,182,121,{'Button': {'on': 'On'}},15,0.36,6.45,-0.79,0.46,0.70,0.71,31.35,3.00,
156,1196,182,121,{'Button': {'on': 'On'}},16,0.38,6.52,-0.97,0.52,0.70,0.71,31.35,3.00,
157,1196,182,121,{'Button': {'on': 'On'}},17,0.46,6.62,-1.07,0.57,0.70,0.70,31.31,3.00,
158,1196,182,121,{'Button': {'on': 'On'}},18,0.50,6.73,-1.12,0.61,0.69,0.69,31.26,3.00,
159,1196,182,121,{'Button': {'on': 'On'}},19,0.59,6.82,-1.23,0.66,0.68,0.68,31.26,3.00,
160,1195,187,126,{'Button': {'on': 'On'}},0,-0.66,13.22,-3.79,2.44,-0.46,-0.08,31.31,3.00,
161,1195,187,126,{'Button': {'on': 'On'}},1,-0.35,13.05,-3.76,2.67,-0.52,0.01,31.26,3.00,
162,1195,187,126,{'Button': {'on': 'On'}},2,-0.05,12.77,-3.88,2.88,-0.59,0.08,31.26,3.00,
163,1195,187,126,{'Button': {'on': 'On'}},3,0.60,12.34,-3.73,3.08,-0.60,0.15,31.31,3.00,
164,1195,187,126,{'Button': {'on': 'On'}},4,0.87,11.87,-3.34,3.26,-0.63,0.20,31.31,3.00,
165,1195,187,126,{'Button': {'on': 'On'}},5,0.85,11.69,-3.31,3.43,-0.63,0.24,31.35,2.00,
166,1195,187,126,{'Button': {'on': 'On'}},6,1.19,11.27,-2.97,3.62,-0.61,0.27,31.35,2.00,
167,1195,187,126,{'Button': {'on': 'On'}},7,0.69,11.05,-2.27,3.76,-0.62,0.31,31.31,3.00,
168,1195,187,126,{'Button': {'on': 'On'}},8,1.24,10.50,-2.40,3.94,-0.56,0.33,31.31,3.00,
169,1195,187,126,{'Button': {'on': 'On'}},9,1.26,10.26,-1.89,4.09,-0.52,0.35,31.35,3.00,
170,1195,187,126,{'Button': {'on': 'On'}},10,1.01,10.04,-2.20,4.22,-0.52,0.36,31.26,3.00,
171,1195,187,126,{'Button': {'on': 'On'}},11,1.11,9.46,-1.84,4.36,-0.49,0.38,31.31,3.00,
172,1195,187,126,{'Button': {'on': 'On'}},12,1.04,9.30,-2.05,4.37,-0.41,0.38,31.26,3.00,
173,1195,187,126,{'Button': {'on': 'On'}},13,0.66,8.97,-1.46,4.37,-0.42,0.39,31.35,3.00,
174,1195,187,126,{'Button': {'on': 'On'}},14,0.79,8.49,-1.64,4.37,-0.38,0.39,31.35,3.00,
175,1195,187,126,{'Button': {'on': 'On'}},15,0.54,8.20,-1.40,4.37,-0.35,0.40,31.31,3.00,
176,1195,187,126,{'Button': {'on': 'On'}},16,0.20,7.99,-1.44,4.37,-0.35,0.42,31.31,3.00,
177,1195,187,126,{'Button': {'on': 'On'}},17,0.22,7.63,-1.52,4.37,-0.31,0.43,31.26,3.00,
178,1195,187,126,{'Button': {'on': 'On'}},18,0.08,7.49,-1.82,4.37,-0.29,0.44,31.35,3.00,
179,1195,187,126,{'Button': {'on': 'On'}},19,-0.19,7.39,-2.04,4.37,-0.30,0.46,31.40,3.00,
180,1194,186,125,{'Button': {'on': 'On'}},0,0.56,9.39,-6.76,-2.29,0.92,-0.16,31.26,3.00,
181,1194,186,125,{'Button': {'on': 'On'}},1,0.58,9.15,-6.34,-2.39,0.93,-0.17,31.31,3.00,
182,1194,186,125,{'Button': {'on': 'On'}},2,0.63,8.94,-5.94,-2.47,0.94,-0.19,31.40,3.00,
183,1194,186,125,{'Button': {'on': 'On'}},3,0.72,8.81,-5.65,-2.53,0.94,-0.21,31.26,3.00,
184,1194,186,125,{'Button': {'on': 'On'}},4,0.78,8.58,-5.21,-2.59,0.93,-0.24,31.35,3.00,
185,1194,186,125,{'Button': {'on': 'On'}},5,0.90,8.43,-4.87,-2.64,0.92,-0.27,31.31,3.00,
186,1194,186,125,{'Button': {'on': 'On'}},6,0.91,8.26,-4.44,-2.67,0.90,-0.30,31.31,3.00,
187,1194,186,125,{'Button': {'on': 'On'}},7,0.97,8.13,-3.99,-2.69,0.88,-0.34,31.35,3.00,
188,1194,186,125,{'Button': {'on': 'On'}},8,0.95,7.95,-3.64,-2.71,0.86,-0.37,31.26,3.00,
189,1194,186,125,{'Button': {'on': 'On'}},9,0.96,7.89,-3.28,-2.71,0.84,-0.40,31.21,3.00,
190,1194,186,125,{'Button': {'on': 'On'}},10,0.85,7.88,-3.20,-2.70,0.82,-0.44,31.26,2.00,
191,1194,186,125,{'Button': {'on': 'On'}},11,0.91,7.77,-2.90,-2.68,0.80,-0.47,31.26,3.00,
192,1194,186,125,{'Button': {'on': 'On'}},12,0.90,7.69,-2.63,-2.66,0.78,-0.50,31.26,3.00,
193,1194,186,125,{'Button': {'on': 'On'}},13,0.88,7.60,-2.31,-2.63,0.76,-0.54,31.31,3.00,
194,1194,186,125,{'Button': {'on': 'On'}},14,0.96,7.40,-2.07,-2.59,0.73,-0.57,31.31,3.00,
195,1194,186,125,{'Button': {'on': 'On'}},15,0.97,7.34,-1.66,-2.55,0.71,-0.61,31.35,3.00,
196,1194,186,125,{'Button': {'on': 'On'}},16,0.92,7.21,-1.50,-2.50,0.68,-0.64,31.35,3.00,
197,1194,186,125,{'Button': {'on': 'On'}},17,1.05,7.12,-1.24,-2.43,0.65,-0.68,31.26,3.00,
198,1194,186,125,{'Button': {'on': 'On'}},18,0.94,7.23,-1.05,-2.37,0.62,-0.71,31.31,3.00,
199,1194,186,125,{'Button': {'on': 'On'}},19,0.78,7.28,-0.78,-2.29,0.60,-0.75,31.31,3.00,
200,1193,175,114,{'Button': {'on': 'On'}},0,1.02,12.72,-4.27,-4.37,-4.37,-0.90,31.40,4.00,
201,1193,175,114,{'Button': {'on': 'On'}},1,1.57,12.34,-5.63,-4.37,-4.37,-0.75,31.26,3.00,
202,1193,175,114,{'Button': {'on': 'On'}},2,1.12,12.43,-6.44,-4.37,-4.37,-0.61,31.21,2.00,
203,1193,175,114,{'Button': {'on': 'On'}},3,1.01,12.13,-8.18,-4.37,-4.37,-0.44,31.21,3.00,
204,1193,175,114,{'Button': {'on': 'On'}},4,1.95,11.55,-8.59,-4.37,-4.37,-0.33,31.26,3.00,
205,1193,175,114,{'Button': {'on': 'On'}},5,1.89,11.50,-9.45,-4.37,-4.37,-0.23,31.26,3.00,
206,1193,175,114,{'Button': {'on': 'On'}},6,3.56,11.06,-9.95,-4.37,-4.37,-0.18,31.31,3.00,
207,1193,175,114,{'Button': {'on': 'On'}},7,3.21,10.93,-8.81,-4.37,-4.37,-0.10,31.31,3.00,
208,1193,175,114,{'Button': {'on': 'On'}},8,3.84,10.97,-8.98,-4.37,-4.37,-0.04,31.35,3.00,
209,1193,175,114,{'Button': {'on': 'On'}},9,4.43,10.67,-8.13,-4.37,-4.37,-0.00,31.35,3.00,
210,1193,175,114,{'Button': {'on': 'On'}},10,4.15,10.46,-7.23,-4.37,-4.37,0.07,31.31,3.00,
211,1193,175,114,{'Button': {'on': 'On'}},11,4.64,10.43,-8.05,-4.37,-4.37,0.13,31.31,3.00,
212,1193,175,114,{'Button': {'on': 'On'}},12,4.75,11.02,-9.46,-4.23,-4.37,0.18,31.26,3.00,
213,1193,175,114,{'Button': {'on': 'On'}},13,4.30,11.48,-9.74,-3.98,-4.23,0.24,31.35,3.00,
214,1193,175,114,{'Button': {'on': 'On'}},14,3.78,11.62,-9.34,-3.72,-4.05,0.31,31.21,3.00,
215,1193,175,114,{'Button': {'on': 'On'}},15,3.41,11.40,-7.86,-3.39,-3.94,0.39,31.31,3.00,
216,1193,175,114,{'Button': {'on': 'On'}},16,2.99,11.47,-6.97,-3.03,-3.83,0.47,31.31,3.00,
217,1193,175,114,{'Button': {'on': 'On'}},17,2.09,11.31,-6.21,-2.64,-3.75,0.56,31.26,3.00,
218,1193,175,114,{'Button': {'on': 'On'}},18,1.63,11.01,-4.40,-2.17,-3.70,0.64,31.35,2.00,
219,1193,175,114,{'Button': {'on': 'On'}},19,1.19,10.79,-3.76,-1.71,-3.64,0.73,31.21,3.00,
220,1192,169,109,{'Button': {'on': 'On'}},0,0.54,7.56,-8.35,1.35,3.79,-0.48,31.31,3.00,
221,1192,169,109,{'Button': {'on': 'On'}},1,0.53,7.57,-7.93,1.20,3.80,-0.47,31.31,3.00,
222,1192,169,109,{'Button': {'on': 'On'}},2,0.66,7.63,-7.83,1.04,3.81,-0.48,31.31,3.00,
223,1192,169,109,{'Button': {'on': 'On'}},3,0.75,7.56,-7.70,0.90,3.81,-0.48,31.35,3.00,
